,Make,Model,Body style,Year,Car location,Mileage,Transmission,Steering wheel,State,Color,Engine,Engine volume,Interior color,Doors,Power,Wheels,Drive,Cylinders,VIN Code
0,Toyota,Corolla,Sedan,2022,"Armenia, Երևան",20000 km,Automatic,Left,Excellent,White,Petrol,2,Black,4,169,,,,
1,Opel,Vectra B,Sedan,1998,"Armenia, Աբովյան",350000 km,Manual,Left,Normal,Silver,Gas,1.8,Black,4,116,"15""",Front,4,
2,Subaru,Օther,SUV,2020,"Georgia, Georgia",30000 km,CVT,Left,Excellent,Black,Petrol,2.4,Black,5,,,All,4,
3,BMW,X5,SUV,2023,"Armenia, Ереван",509 mile,Automatic,Left,Excellent,White,Petrol,3,White,5,,,All,,
4,VAZ(Lada),2121,SUV,1989,"Armenia, Մարտունի",180000 km,Manual,Left,Normal,Brown,Petrol,1.6,Brown,2,80,"16""",All,4,
5,Toyota,Camry,Sedan,2018,"Armenia, Երևան",20000 km,Automatic,Left,Excellent,Silver,,,Black,,,,,,4 T1B11HKXJU675765
6,Lexus,IS 220,Sedan,2006,"Georgia, Georgia",202000 km,Manual,Left,Good,Silver,,,,,,,,,
7,Ford,Fusion,Sedan,2017,"Armenia, Երևան",180000 km,Automatic,Left,Good,Black,Petrol,2.5,Black,4,179,"18""",Front,,3FA6P0G78HR283726
8,Volkswagen,Atlas,SUV,2018,"Armenia, Yerevan",12000 km,Automatic,Left,Crashed,Black,Gas,2,White,5,249,"18""",Front,4,
9,Asia Motors,Hi-Topic,Coupe,2021,"Armenia, Երևան",5 km,CVT,Left,Excellent,Black,,,,,,,,,
10,Kia,Forte,Sedan,2017,"Armenia, Երևան",66000 mile,Automatic,Left,Excellent,Blue,,,,,,,,,
11,Honda,Accord,Sedan,2014,"Armenia, Երևան",153000 km,CVT,Left,Excellent,Black,Petrol,2.4,Black,4,,"17""",Front,,
12,Mitsubishi,Eclipse,Wagon,2019,"Armenia, Ереван",56000 mile,Automatic,Left,Excellent,Silver,Petrol,1.5,Black,5,150,,Front,4,JA4AS5AA2LZ015063
13,Mercedes-Benz,G 55 AMG,SUV,2008,"Armenia, Ереван",210147 km,Automatic,Left,Excellent,Black,,,,,,,,,
14,Nissan,Teana,Sedan,2003,"Armenia, Երևան",250 km,Automatic,Right,Good,Silver,,,,,,,,,
15,Mercedes-Benz,E 300,Sedan,2017,"Georgia, Georgia",72500 mile,Automatic,Left,Excellent,Black,Petrol,2,Black,4,245,"18""",Rear,4,
16,Toyota,Corolla,Sedan,2018,"Armenia, Աշտարակ",30000 mile,Automatic,Left,Excellent,Black,,,,,,,,,
17,Toyota,Camry,Sedan,2009,"Armenia, Երևան",230000 km,Automatic,Left,Excellent,Silver,,,,,,,,,
18,BMW,535,Hatchback,2011,"Armenia, Երևան",176000 km,Automatic,Left,Excellent,White,Petrol,3.5,Beige,4,306,"20""",Rear,,WBASN2102CC905067
19,Mitsubishi,Pajero,SUV,2017,"Armenia, Երևան",116000 km,Automatic,Left,Excellent,White,,,,,,,,,
20,BMW,X5,SUV,2013,"Georgia, საქართველოს",0 km,Automatic,Left,Normal,Black,Petrol,3,Brown,5,,,All,,
21,Ford,Escape,SUV,2015,"Armenia, Վանաձոր",150000 mile,Automatic,Left,Excellent,Silver,Petrol,1.6,Black,5,178,"17""",All,4,
22,Kia,Forte,Sedan,2013,"Armenia, Երևան",143000 mile,Automatic,Left,Good,White,Petrol,1.8,Gray,4,143,"16""",Front,4,KNAFK4A69E5059005
23,Mercedes-Benz,C 180,Sedan,2001,"Armenia, Մարտունի",280000 km,Manual,Left,Good,Blue,Gas,1.8,Gray,5,127,"16""",Rear,4,
24,Volkswagen,Atlas,SUV,2019,"Georgia, Грузия",115000 km,Automatic,Left,Good,Gray,Petrol,3.6,Black,5,,,Front,6,
25,Mercedes-Benz,350,Sedan,2007,"Armenia, Арташат",300000 km,Automatic,Left,Excellent,Black,,,,,,,,,
26,Kia,Sportage,SUV,2012,"Armenia, Երևան",135000 km,Automatic,Left,Good,Orange,Petrol,2,,,,,,,
27,Toyota,Camry,Sedan,2022,"Armenia, Երևան",20 mile,Automatic,Left,Excellent,Gray,,,,,,,,,
28,Mazda,CX3,SUV,2020,"Armenia, Ереван",20000 km,Automatic,Left,Excellent,Black,,,,,,,,,
29,VAZ(Lada),2121,Hatchback,2004,"Armenia, Մարտունի",199000 km,Manual,Left,Normal,White,,,,,,,,,
30,Volkswagen,Passat,Sedan,2003,"Armenia, Երևան",309584 km,Automatic,Left,Good,Azure,,,,,,,,,
